txn_id,account_id,timestamp,amount,currency,merchant,category
t1,A1,2026-04-28T10:15:00Z,100.00,USD,Amazon,retail
t2,A1,2026-04-28T11:00:00Z,50.00,CHF,Coop,groceries
t3,A2,2026-04-29T09:30:00Z,80.00,EUR,UBS,banking
t4,A2,2026-04-29T12:00:00Z,12.00,GBP,Tesco,retail
t5,,2026-04-29T12:10:00Z,10.00,CHF,Migros,groceries
t6,A1,2026-04-28T12:30:00Z,0,CHF,Coop,groceries
t7,A1,2026-04-28T14:00:00Z,25.50,CHF,SBB,transport
t8,A3,2026-04-30T08:00:00Z,200.00,CHF,Migros,groceries
t9,A3,2026-04-30T09:15:00Z,-45.00,CHF,Refund,retail
t10,A2,2026-04-29T15:45:00Z,33.33,EUR,Galaxus,retail
t11,A4,2026-04-28T10:00:00Z,10.55,USD,Apple,electronics
t12,A2,2026-04-30T10:00:00Z,80.00,EUR,UBS,banking
t13,A4,2026-04-29T11:00:00Z,100.00,USD,Zalando,fashion
t14,A5,2026-05-01T08:00:00Z,19.999,CHF,Denner,groceries
t15,A5,2026-05-01T09:00:00Z,0.01,CHF,Kiosk,other
t16,A5,2026-05-01T10:00:00Z,300,CHF,IKEA,furniture
t17,A2,2026-04-29T13:00:00Z,500.00,JPY,Rakuten,electronics
t18,A3,2026-04-30T11:00:00Z,-10.00,USD,Return,retail
,A1,2026-04-28T15:00:00Z,22.00,CHF,Unknown,misc
t20,A1,2026-04-28T10:20:00,40.00,CHF,Bad,timestamp
t21,A1,2026-04-28T10:25:00Z,abc,CHF,Bad,amount
t22,A1,2026-04-28T10:30:00Z,30.00,US,Bad,currency
t23,A1,2026-04-30T09:00:00Z,60.00,CHF,Denner,groceries
t24,A2,2026-04-29T14:00:00Z,45.00,EUR,Galaxus,retail
